solver_type,test_type,n_mpi,n_threads,total_cores,n_refinements,poly_degree,n_dofs,n_cells,setup_time,assembly_time,solve_time,total_time,n_iterations,l2_error,memory_mb,dofs_per_second,parallel_efficiency
matrix_based,time_complexity,8,3,24,2,2,81,16,2.943796,0.082027,3.796943,6.881085,8,0.001927,0.007961,11.771399,0.000000
matrix_free,time_complexity,8,3,24,2,2,81,0,5.199256,0.015754,7.683170,12.942468,5,0.001602,0.057734,6.258466,0.000000
matrix_based,time_complexity,8,3,24,3,2,289,64,3.562804,0.095188,6.096971,9.838399,9,0.000245,0.021084,29.374698,0.000000
matrix_free,time_complexity,8,3,24,3,2,289,0,7.420587,0.014954,12.070234,19.536631,6,0.000205,0.071356,14.792724,0.000000
matrix_based,time_complexity,8,3,24,4,2,1089,256,4.276576,0.114968,7.865043,12.284451,10,0.000031,0.046993,88.648649,0.000000
matrix_free,time_complexity,8,3,24,4,2,1089,0,10.402348,0.023908,15.614224,26.090460,6,0.000026,0.090940,41.739394,0.000000
matrix_based,time_complexity,8,3,24,5,2,4225,1024,5.275738,0.084916,9.967016,15.371514,10,0.000004,0.126827,274.859064,0.000000
matrix_free,time_complexity,8,3,24,5,2,4225,0,13.420349,0.014874,18.313339,31.778607,6,0.000003,0.128889,132.951078,0.000000
matrix_based,time_complexity,8,3,24,6,2,16641,4096,6.109861,1.119732,13.431983,20.711384,11,0.000000,0.406109,803.471161,0.000000
matrix_free,time_complexity,8,3,24,6,2,16641,0,16.797467,0.015775,22.338359,39.180645,6,0.000000,0.240503,424.725013,0.000000
matrix_based,time_complexity,8,3,24,7,2,66049,16384,6.882288,1.649511,14.689963,23.298123,11,0.000000,1.433010,2834.949419,0.000000
matrix_free,time_complexity,8,3,24,7,2,66049,0,19.370981,0.034405,24.111556,43.541246,6,0.000000,0.638547,1516.929498,0.000000
matrix_based,time_complexity,8,3,24,8,2,263169,65536,8.374128,6.172043,22.260125,37.030528,11,0.000000,5.361401,7106.812017,0.000000
matrix_free,time_complexity,8,3,24,8,2,263169,0,23.942174,0.084693,30.414522,54.497920,6,0.000000,2.170206,4828.973314,0.000000
matrix_based,time_complexity,8,3,24,9,2,1050625,262144,11.456536,12.220774,22.701971,47.107804,12,0.000000,20.717770,22302.567991,0.000000
matrix_free,time_complexity,8,3,24,9,2,1050625,0,29.254853,0.255898,33.924128,63.546912,6,0.000000,8.212432,16533.061342,0.000000
matrix_based,time_complexity,8,3,24,10,2,4198401,1048576,25.340706,8.069103,37.250047,73.696308,12,0.000000,81.430096,56968.946476,0.000000
matrix_free,time_complexity,8,3,24,10,2,4198401,0,41.149863,0.945726,45.737979,88.201444,6,0.000000,32.248672,47600.138931,0.000000
