solver_type,test_type,n_mpi,n_threads,total_cores,n_refinements,poly_degree,n_dofs,n_cells,setup_time,assembly_time,solve_time,total_time,n_iterations,l2_error,memory_mb,dofs_per_second,parallel_efficiency
matrix_based,time_complexity,16,1,16,2,2,81,16,7.325070,0.123059,9.336018,16.891549,8,0.001927,0.010113,4.795297,-0.124020
matrix_free,time_complexity,16,1,16,2,2,81,0,12.489943,0.026764,18.637215,31.212249,5,0.001602,0.057734,2.595135,0.000000
matrix_based,time_complexity,16,1,16,3,2,289,64,9.329803,0.160013,14.909976,24.511237,9,0.000245,0.029736,11.790511,-0.124020
matrix_free,time_complexity,16,1,16,3,2,289,0,19.009626,0.025872,29.011233,48.124688,6,0.000205,0.070444,6.005234,0.000000
matrix_based,time_complexity,16,1,16,4,2,1089,256,11.149131,0.195998,18.520044,29.974494,10,0.000031,0.060574,36.330889,-0.124020
matrix_free,time_complexity,16,1,16,4,2,1089,0,25.664464,0.056933,37.736207,63.539600,6,0.000026,0.086420,17.138918,0.000000
matrix_based,time_complexity,16,1,16,5,2,4225,1024,13.287316,0.217993,26.082977,39.664588,10,0.000004,0.153286,106.518187,-0.124020
matrix_free,time_complexity,16,1,16,5,2,4225,0,32.146386,0.032923,45.687311,77.944603,6,0.000003,0.111838,54.205164,0.000000
matrix_based,time_complexity,16,1,16,6,2,16641,4096,15.108087,0.210874,27.444003,42.872361,10,0.000000,0.458401,388.152174,-0.124020
matrix_free,time_complexity,16,1,16,6,2,16641,0,39.881450,0.032852,53.500314,93.492542,6,0.000000,0.174279,177.992807,0.000000
matrix_based,time_complexity,16,1,16,7,2,66049,16384,17.005733,0.286332,36.514016,53.964294,11,0.000000,1.557461,1223.938932,-0.124020
matrix_free,time_complexity,16,1,16,7,2,66049,0,49.393544,0.028679,62.951415,112.456455,6,0.000000,0.381233,587.329557,0.000000
matrix_based,time_complexity,16,1,16,8,2,263169,65536,20.025483,0.655108,40.917999,61.889853,11,0.000000,5.710964,4252.215596,-0.124020
matrix_free,time_complexity,16,1,16,8,2,263169,0,59.131688,0.118864,70.490574,129.822796,6,0.000000,1.156903,2027.140126,0.000000
matrix_based,time_complexity,16,1,16,9,2,1050625,262144,24.473723,1.821325,48.287935,75.390273,11,0.000000,21.844448,13935.816360,-0.124020
matrix_free,time_complexity,16,1,16,9,2,1050625,0,70.336325,0.258729,79.132767,149.915266,6,0.000000,4.191589,7008.125516,0.000000
matrix_based,time_complexity,16,1,16,10,2,4198401,1048576,39.199792,6.710031,66.984963,116.020196,12,0.000000,85.422268,36186.811965,-0.124020
matrix_free,time_complexity,16,1,16,10,2,4198401,0,88.837857,0.894195,90.868222,181.002954,6,0.000000,16.230790,23195.207123,0.000000
