solver_type,test_type,n_mpi,n_threads,total_cores,n_refinements,poly_degree,n_dofs,n_cells,setup_time,assembly_time,solve_time,total_time,n_iterations,l2_error,memory_mb,dofs_per_second,parallel_efficiency
matrix_based,time_complexity,28,1,28,2,2,81,16,15.831017,0.284023,18.425081,34.815475,8,0.001927,0.013340,2.326552,0.000000
matrix_free,time_complexity,28,1,28,2,2,81,0,26.125579,0.000059,37.910286,64.135337,5,0.001602,0.047485,1.262954,0.000000
matrix_based,time_complexity,28,1,28,3,2,289,64,19.428081,0.294061,28.982943,48.902358,9,0.000245,0.032963,5.909735,0.000000
matrix_free,time_complexity,28,1,28,3,2,289,0,37.867667,0.049761,57.746183,95.804643,6,0.000205,0.070444,3.016555,0.000000
matrix_based,time_complexity,28,1,28,4,2,1089,256,23.362240,0.436005,45.220988,69.338537,10,0.000031,0.086117,15.705552,0.000000
matrix_free,time_complexity,28,1,28,4,2,1089,0,52.780319,0.053943,78.339209,131.310403,6,0.000026,0.083967,8.293326,0.000000
matrix_based,time_complexity,28,1,28,5,2,4225,1024,27.629354,0.334038,53.387926,81.587532,10,0.000004,0.205624,51.784873,0.000000
matrix_free,time_complexity,28,1,28,5,2,4225,0,66.263520,0.045916,92.730336,159.245650,6,0.000003,0.105900,26.531337,0.000000
matrix_based,time_complexity,28,1,28,6,2,16641,4096,31.620125,0.378946,64.171966,96.366486,11,0.000000,0.546062,172.684516,0.000000
matrix_free,time_complexity,28,1,28,6,2,16641,0,82.517537,0.036898,108.802247,191.527615,6,0.000000,0.148737,86.885643,0.000000
matrix_based,time_complexity,28,1,28,7,2,66049,16384,35.471607,0.527681,72.594953,108.811463,11,0.000000,1.685101,607.004062,0.000000
matrix_free,time_complexity,28,1,28,7,2,66049,0,99.809686,0.045817,126.086280,226.095693,6,0.000000,0.273403,292.128519,0.000000
matrix_based,time_complexity,28,1,28,8,2,263169,65536,40.217840,0.805168,85.400011,126.852258,12,0.000000,5.832027,2074.610294,0.000000
matrix_free,time_complexity,28,1,28,8,2,263169,0,121.134628,0.082422,143.635558,264.975324,6,0.000000,0.727386,993.183050,0.000000
matrix_based,time_complexity,28,1,28,9,2,1050625,262144,47.408779,2.031716,95.581998,145.995725,12,0.000000,21.541691,7196.272336,0.000000
matrix_free,time_complexity,28,1,28,9,2,1050625,0,143.535939,0.270506,160.863774,304.917697,6,0.000000,2.477247,3445.601914,0.000000
matrix_based,time_complexity,28,1,28,10,2,4198401,1048576,63.789263,6.863217,112.804929,186.375651,12,0.000000,83.183926,22526.553144,0.000000
matrix_free,time_complexity,28,1,28,10,2,4198401,0,175.157033,0.856560,179.865468,356.358885,6,0.000000,9.380802,11781.384376,0.000000
