solver_type,test_type,n_mpi,n_threads,total_cores,n_refinements,poly_degree,n_dofs,n_cells,setup_time,assembly_time,solve_time,total_time,n_iterations,l2_error,memory_mb,dofs_per_second,parallel_efficiency
matrix_based,time_complexity,1,28,28,2,2,81,16,0.012884,0.003389,0.005721,0.027008,8,0.001927,0.003008,2999.096161,0.000000
matrix_free,time_complexity,1,28,28,2,2,81,0,0.035365,0.000113,0.004370,0.040701,5,0.001602,0.064515,1990.108913,0.000000
matrix_based,time_complexity,1,28,28,3,2,289,64,0.005180,0.002813,0.002426,0.012064,9,0.000245,0.008410,23955.306196,0.000000
matrix_free,time_complexity,1,28,28,3,2,289,0,0.036929,0.000104,0.004539,0.042220,6,0.000205,0.089712,6845.091112,0.000000
matrix_based,time_complexity,1,28,28,4,2,1089,256,0.007795,0.004709,0.004037,0.018431,10,0.000031,0.027269,59084.509132,0.000000
matrix_free,time_complexity,1,28,28,4,2,1089,0,0.046165,0.000544,0.006880,0.054464,6,0.000026,0.152940,19994.884321,0.000000
matrix_based,time_complexity,1,28,28,5,2,4225,1024,0.017935,0.010157,0.016333,0.048881,10,0.000004,0.097216,86434.925323,0.000000
matrix_free,time_complexity,1,28,28,5,2,4225,0,0.057857,0.001415,0.020250,0.080813,6,0.000003,0.360825,52280.895438,0.000000
matrix_based,time_complexity,1,28,28,6,2,16641,4096,0.054237,0.024684,0.049543,0.139189,10,0.000000,0.366014,119556.479301,0.000000
matrix_free,time_complexity,1,28,28,6,2,16641,0,0.096439,0.004631,0.070657,0.173996,6,0.000000,1.138434,95640.073042,0.000000
matrix_based,time_complexity,1,28,28,7,2,66049,16384,0.252305,0.101217,0.320393,0.720520,11,0.000000,1.419237,91668.534230,0.000000
matrix_free,time_complexity,1,28,28,7,2,66049,0,0.245484,0.016859,0.274086,0.543613,6,0.000000,4.177114,121500.033464,0.000000
matrix_based,time_complexity,1,28,28,8,2,263169,65536,0.981689,0.379231,1.139025,2.684973,11,0.000000,5.588182,98015.527198,0.000000
matrix_free,time_complexity,1,28,28,8,2,263169,0,0.764073,0.063079,0.893874,1.745226,6,0.000000,16.224408,150793.633427,0.000000
matrix_based,time_complexity,1,28,28,9,2,1050625,262144,3.942881,1.518984,4.929553,11.827224,11,0.000000,22.176073,88831.075888,0.000000
matrix_free,time_complexity,1,28,28,9,2,1050625,0,4.101631,0.251431,3.564457,8.013686,6,0.000000,64.234806,131103.841332,0.000000
matrix_based,time_complexity,1,28,28,10,2,4198401,1048576,15.998811,6.057870,23.098035,48.148629,13,0.000000,88.351854,87196.688404,0.000000
matrix_free,time_complexity,1,28,28,10,2,4198401,0,12.297864,1.025819,14.734736,28.443901,6,0.000000,255.954944,147602.853694,0.000000
